,device,dnn_applied,plus_file,minus_file,scene,snr_left,snr_right,snr,mbstoi,hasqi_left,haspi_left,sisdr
476,018_ph5_s_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_plus_restaurant_0deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_minus_restaurant_0deg.wav,restaurant_0deg,8.53241503238678,8.911876678466797,8.748409152030945,0.7363021100827372,0.9461512159837284,0.9999763499587656,-8.750043869018555
477,018_ph5_s_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_plus_restaurant_30deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_minus_restaurant_30deg.wav,restaurant_30deg,9.471730589866638,12.271243333816528,11.446404457092285,0.7512918468411924,0.9740815244833723,0.9999820282538455,-11.445399284362793
478,018_ph5_s_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_plus_meeting_0deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_minus_meeting_0deg.wav,meeting_0deg,5.9529125690460205,6.32146954536438,6.153355836868286,0.7262738844955058,0.933356146455021,0.9999773278330482,-6.134189605712891
479,018_ph5_s_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_plus_meeting_30deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/018_ph5_s_bypass_ku100/018_ph5_s_bypass_ku100_minus_meeting_30deg.wav,meeting_30deg,8.311750888824463,10.396451950073242,9.784111380577087,0.7618941103142298,0.9778889723631232,0.9999810219356566,-9.791352272033691
486,020_ph4_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_plus_party_0deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_minus_party_0deg.wav,party_0deg,9.101438522338867,10.837321281433105,10.083662271499634,0.7252179779379341,0.9438737160850315,0.9999797082374791,-10.066326141357422
487,020_ph4_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_plus_party_30deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_minus_party_30deg.wav,party_30deg,10.40351390838623,14.348714351654053,13.206101655960083,0.7454493449406624,0.9542476088343776,0.9999847011807016,-13.191572189331055
488,020_ph4_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_plus_restaurant_0deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_minus_restaurant_0deg.wav,restaurant_0deg,8.861289024353027,9.533339738845825,9.265040159225464,0.7477691845176279,0.9590459362460856,0.9999796848200211,-9.26426887512207
489,020_ph4_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_plus_restaurant_30deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_minus_restaurant_30deg.wav,restaurant_30deg,9.633320569992065,12.890162467956543,12.03397274017334,0.7674648109245605,0.9807823145291205,0.9999838790938922,-12.03469181060791
490,020_ph4_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_plus_meeting_0deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_minus_meeting_0deg.wav,meeting_0deg,6.0145580768585205,6.611245274543762,6.355156898498535,0.7358285905298694,0.9441414276076511,0.9999791254596057,-6.342896461486816
491,020_ph4_p_bypass_ku100,2,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_plus_meeting_30deg.wav,/home/ubuntu/Data/ha_listening_situations/processed_m3_alldata_mild/ku_processed/020_ph4_p_bypass_ku100/020_ph4_p_bypass_ku100_minus_meeting_30deg.wav,meeting_30deg,8.592609167098999,11.119740009307861,10.443929433822632,0.7725394821184575,0.9834885883720582,0.9999835256247492,-10.449445724487305
